TOP 30 Ports of Entry;ene-21;feb-21;mar-21;apr-21;may-21;jun-21;jul-21;ene-20;feb-20;mar-20;apr-20;may-20;jun-20;jul-20;ago-20;sep-20;oct-20;nov-20;dic-20;ene-19;feb-19;mar-19;apr-19;may-19;jun-19;jul-19;ago-19;sep-19;oct-19;nov-19;dic-19
MIAMI, FL;99034;79332;132166;160714;248605;270578;257460;396439;407651;147960;1466;3033;6267;13339;22951;34542;70208;112129;140698;432055;407547;409642;452783;376787;357360;422384;406366;320316;392443;416650;496022
NEW YORK, NY;41982;26910;46128;50920;85578;114717;138682;409746;387375;136873;504;1089;4578;18268;28287;26127;34449;32974;45006;405306;383275;475893;638756;631980;610885;675954;651884;592657;657510;500388;608743
FT LAUDERDALE, FL;32600;23025;39103;45336;79424;82520;79595;86552;83662;34938;774;1244;2929;13227;12074;16930;29197;34749;54702;88731;85895;92343;105829;93501;93402;121312;121962;82552;96284;108893;142203
HOUSTON, TX;17331;11735;22805;29398;44759;46700;41500;73486;62492;26540;702;1548;1743;2772;5446;7757;12280;15849;22662;70334;64537;76863;90523;87214;75597;83103;81426;78910;87942;77470;100663
LOS ANGELES, CA;17850;12480;18578;21709;34192;47141;59371;347351;250438;91858;3089;1962;3785;5761;9511;10254;13787;16432;20938;361859;301586;316188;387365;380289;396005;443425;458604;426189;378780;292354;367126
NEWARK, NJ;24674;13679;20451;24855;25495;35176;42770;120803;114583;40061;252;616;1721;6273;12060;15770;17398;16346;21221;121006;117674;140020;193385;178884;171686;185450;189677;179987;188327;145719;187069
DALLAS, TX;15284;6616;13695;23101;28458;29941;27216;61224;47975;17690;379;632;1562;2703;6235;3751;6167;8124;12982;66902;53858;58442;69114;74495;66487;78014;81922;73536;68242;53939;68587
ATLANTA, GA;19964;10724;14641;15095;26748;26750;29298;82799;69821;25972;642;1268;2192;3783;7474;5262;8540;9517;16058;87322;77561;87243;108874;105258;90430;105117;112701;93951;101641;80361;98565
ORLANDO, FL;11109;7125;11633;14372;25745;31578;39311;124916;120512;43404;283;514;222;1153;700;1019;3712;7787;15768;138840;130118;126036;183912;160253;147454;194681;183881;139422;161148;134308;153131
WASHINGTON, DC;17639;8230;10392;12700;17789;24715;32435;69102;51550;20858;328;377;1285;3855;8100;6625;9871;11191;13139;67004;54296;70847;96803;103036;100541;120216;109447;91666;98107;72816;87948
